transaction_id,amount,transaction_time,location,device_type,transaction_type,account_age_days,num_prev_transactions,is_foreign_transaction,fraud
1,2307.16,2025-02-23 21:43:17,home_city,web,merchant,1294,106,0,0
2,786.83,2025-02-16 00:56:08,work_city,android,upi_autopay,317,8,0,0
3,3295.66,2025-02-10 05:53:11,work_city,web,merchant,846,23,0,1
4,3837.02,2025-01-15 21:54:00,international,web,upi_autopay,529,14,1,0
5,379.62,2025-02-07 14:45:06,other_domestic,android,merchant,735,40,0,0
6,637.95,2025-02-19 16:12:33,work_city,android,p2p,1557,42,0,0
7,2002.74,2025-01-05 05:59:33,other_domestic,android,bill_payment,1517,249,0,0
8,1403.9,2025-01-11 14:56:56,home_city,android,merchant,1017,55,0,0
9,1783.9,2025-01-31 08:52:33,home_city,android,p2p,213,29,0,0
10,913.76,2025-01-22 17:35:04,work_city,ios,p2p,650,35,0,0
11,3653.78,2025-02-12 02:10:22,other_domestic,web,p2p,1320,72,0,0
12,3368.54,2025-01-25 06:49:26,home_city,android,merchant,1092,59,0,0
13,1906.12,2025-03-01 15:28:14,home_city,android,merchant,1019,83,0,0
14,4455.05,2025-01-18 14:29:33,work_city,android,bill_payment,711,38,0,0
15,2628.08,2025-01-22 20:10:07,home_city,android,p2p,1769,96,0,0
16,909.2,2025-01-01 19:13:19,home_city,android,p2p,1663,91,0,0
17,2428.43,2025-01-15 00:20:47,work_city,web,p2p,1176,32,0,1
18,839.57,2025-01-15 02:10:01,international,android,merchant,1594,43,1,1
19,3651.01,2025-02-15 08:30:10,home_city,android,bill_payment,327,8,0,0
20,1737.25,2025-01-21 23:00:41,home_city,ios,bill_payment,293,24,0,0
21,1559.48,2025-01-13 11:27:07,home_city,android,p2p,1302,35,0,0
22,1048.65,2025-01-19 21:24:19,home_city,web,merchant,1236,33,0,1
23,4807.98,2025-02-03 01:25:18,other_domestic,web,merchant,446,36,0,0
24,1597.79,2025-02-17 23:06:44,home_city,android,bill_payment,1528,125,0,0
25,1283.49,2025-02-28 01:27:59,home_city,android,merchant,1364,37,0,0
26,1364.16,2025-01-03 19:24:01,international,ios,merchant,386,42,1,0
27,2767.91,2025-02-20 21:02:45,other_domestic,android,merchant,1113,60,0,0
28,2422.02,2025-01-24 07:03:48,home_city,android,p2p,1590,130,0,0
29,2515.4,2025-02-18 07:13:11,home_city,web,merchant,1403,153,0,0
30,2552.06,2025-01-03 13:57:26,other_domestic,android,merchant,766,83,0,0
31,10029.82,2025-02-07 17:19:46,work_city,android,bill_payment,1494,0,0,0
32,1306.19,2025-02-25 02:53:02,international,android,p2p,562,30,1,1
33,1200.15,2025-01-03 05:41:09,home_city,android,bill_payment,1779,243,0,0
34,942.92,2025-02-17 18:06:00,other_domestic,ios,p2p,1795,0,0,0
35,2959.52,2025-01-07 19:22:47,home_city,ios,merchant,550,15,0,0
36,4461.22,2025-02-28 03:41:14,home_city,ios,bill_payment,1255,68,0,0
37,1650.51,2025-02-14 21:21:02,other_domestic,android,p2p,1756,96,0,0
38,923.23,2025-02-24 20:48:13,other_domestic,ios,merchant,530,0,0,0
39,934.88,2025-02-23 20:49:50,home_city,android,merchant,1306,35,0,0
40,3042.62,2025-01-19 05:46:24,home_city,android,bill_payment,967,26,0,1
41,3276.74,2025-01-25 16:03:35,other_domestic,android,p2p,810,22,0,0
42,2792.03,2025-02-11 03:50:59,home_city,android,bill_payment,1174,128,0,0
43,1061.66,2025-01-11 04:42:50,home_city,android,upi_autopay,870,47,0,0
44,2177.06,2025-01-19 01:42:06,home_city,android,merchant,1299,106,0,1
45,1984.95,2025-01-06 11:50:02,home_city,android,p2p,1751,0,0,0
46,2153.72,2025-02-23 17:04:21,other_domestic,android,merchant,382,10,0,0
47,3630.56,2025-01-15 04:46:12,home_city,ios,p2p,322,35,0,0
48,2162.19,2025-01-25 04:28:08,work_city,android,merchant,1125,123,0,0
49,3112.34,2025-01-28 06:38:49,work_city,ios,p2p,1754,144,0,0
50,1908.48,2025-01-23 04:44:38,home_city,android,p2p,1546,127,0,0
51,2278.55,2025-02-16 19:59:22,work_city,android,p2p,739,20,0,0
52,2995.99,2025-02-24 04:04:21,home_city,android,merchant,1466,80,0,0
53,563.56,2025-02-04 06:41:02,other_domestic,android,merchant,1664,0,0,0
54,1400.05,2025-02-20 07:20:20,other_domestic,android,merchant,537,0,0,0
55,1241.04,2025-01-07 04:51:54,other_domestic,android,p2p,192,15,0,0
56,1084.53,2025-02-27 22:35:20,home_city,android,p2p,1770,193,0,0
